mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_penalty,param_C,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.006917238235473633,0.0003245676455056645,0.002828359603881836,0.0002478228575883577,liblinear,l2,100.0,"{'solver': 'liblinear', 'penalty': 'l2', 'C': 100}",0.8185096153846154,0.8028846153846154,0.8112980769230769,0.8108974358974358,0.006385167247800169,3
0.0195156733194987,0.01641300435773047,0.002943277359008789,0.0007545874079522229,lbfgs,l2,0.1,"{'solver': 'lbfgs', 'penalty': 'l2', 'C': 0.1}",0.8137019230769231,0.7884615384615384,0.8064903846153846,0.8028846153846154,0.010615097195105611,5
0.0012596448262532551,0.0002809006871761532,0.0,0.0,lbfgs,elasticnet,0.1,"{'solver': 'lbfgs', 'penalty': 'elasticnet', 'C': 0.1}",,,,,,7
0.005357503890991211,0.0015952894932092956,0.0019444624582926433,0.0001413994823790769,newton-cg,l2,0.01,"{'solver': 'newton-cg', 'penalty': 'l2', 'C': 0.01}",0.7800480769230769,0.7776442307692307,0.7680288461538461,0.7752403846153846,0.005192901200647306,6
0.004046916961669922,3.574900891551065e-05,0.002209742863972982,0.00027717465252595085,liblinear,l2,1.0,"{'solver': 'liblinear', 'penalty': 'l2', 'C': 1.0}",0.8197115384615384,0.8004807692307693,0.8112980769230769,0.8104967948717948,0.007871347237335105,4
0.0012224515279134114,0.00018818837562352113,0.0,0.0,lbfgs,l1,1.0,"{'solver': 'lbfgs', 'penalty': 'l1', 'C': 1.0}",,,,,,7
0.0010672410329182942,1.412695748152687e-05,0.0,0.0,sag,elasticnet,0.1,"{'solver': 'sag', 'penalty': 'elasticnet', 'C': 0.1}",,,,,,7
0.005221764246622722,0.000960720503098661,0.0016295909881591797,0.00021292590092398639,liblinear,l1,1.0,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 1.0}",0.8209134615384616,0.8004807692307693,0.8137019230769231,0.8116987179487181,0.008461022468727108,2
0.0007105668385823568,1.8480473272797765e-05,0.0,0.0,sag,none,10.0,"{'solver': 'sag', 'penalty': 'none', 'C': 10}",,,,,,7
0.007166624069213867,0.0002668010074910663,0.0019950071970621743,0.00020477776555101132,saga,l1,1.0,"{'solver': 'saga', 'penalty': 'l1', 'C': 1.0}",0.8197115384615384,0.8028846153846154,0.8137019230769231,0.8120993589743589,0.00696239871673987,1
